artid,regid,coef_pos,label,coef,paren,coef_num_str,paren_num_str,coef_str,paren_str,stars_str,coef_num_deci,paren_num_deci,coef_cellid,paren_cellid
aejapp_9_4_5,1,1,Settlement,0.104,0.03,0.104,0.030,0.104,[0.030],"",3,3,295,300
aejapp_9_4_5,2,1,Settlement,0.102,0.028,0.102,0.028,0.102,[0.028],"",3,3,296,301
aejapp_9_4_5,3,1,Settlement,0.081,0.027,0.081,0.027,0.081,[0.027],"",3,3,297,302
aejapp_9_4_5,4,1,Settlement,0.025,0.011,0.025,0.011,0.025,[0.011],"",3,3,298,303
aejapp_9_4_5,5,1,Settlement,0.051,0.028,0.051,0.028,0.051,[0.028],"",3,3,299,304
aejapp_9_4_5,6,1,Settlement,14.22,15.06,14.22,15.06,14.22,[15.06],"",2,2,315,321
aejapp_9_4_5,7,1,Settlement,0.046,0.029,0.046,0.029,0.046,[0.029],"",3,3,316,322
aejapp_9_4_5,8,1,Settlement,-0.008,0.007,-0.008,0.007,-0.008,[0.007],"",3,3,317,323
aejapp_9_4_5,9,1,Settlement,0.185,0.144,0.185,0.144,0.185,[0.144],"",3,3,318,324
aejapp_9_4_5,10,1,Settlement,0.04,0.062,0.040,0.062,0.040,[0.062],"",3,3,319,325
