artid,step,variant,cterm,shown_term,label,coef,se,t,p,ci_low,ci_up
aejapp_9_4_5,10,sb,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,-0.0123099224438747,0.0368824672367264,-0.333760818246369,0.73937250558554,-0.0856298406742531,0.0610099957865037
aejapp_9_4_5,10,sb,(Intercept),_cons,Constant,0.164668283816697,0.0162786561779347,10.1155944333968,2.65583656925824e-16,0.132307386368976,0.197029181264418
aejapp_9_4_5,11,sb,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,0.00982294440272843,0.0056970767499616,1.72420784094135,0.0882631857207481,-0.00150246934408926,0.0211483581495461
aejapp_9_4_5,11,sb,(Intercept),_cons,Constant,0.0132854862115009,0.00166758799501961,7.96688765521162,6.17182246179001e-12,0.00997043099428782,0.0166005414287139
aejapp_9_4_5,12,sb,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,0.0247763251213742,0.0263526849795635,0.940182191704117,0.34975742913155,-0.0276110787757413,0.0771637290184896
aejapp_9_4_5,12,sb,(Intercept),_cons,Constant,0.173479611836914,0.0120769200881267,14.3645574013087,1.43632707755294e-24,0.149471489287712,0.197487734386116
aejapp_9_4_5,13,sb,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,0.248656878664146,1.88555353441344,0.131874738174166,0.895391409552935,-3.49969949009121,3.99701324741951
aejapp_9_4_5,13,sb,(Intercept),_cons,Constant,9.47386042428189,0.831572258601034,11.3927086026413,7.2504671091242e-19,7.82074948644946,11.1269713621143
aejapp_9_4_5,14,sb,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,0.0907704042715484,0.0726916733821677,1.24870428823854,0.215161776964148,-0.0537358597536175,0.235276668296714
aejapp_9_4_5,14,sb,(Intercept),_cons,Constant,0.0144927536231884,0.014553683655682,0.995813428824266,0.322134475528759,-0.0144390119427237,0.0434245191891005
