artid,step,ia_cterm,cterm,role,in_regcoef
aejapp_9_4_5,4,settlement,settlement,exo,TRUE
aejapp_9_4_5,5,settlement,settlement,exo,TRUE
aejapp_9_4_5,6,settlement,settlement,exo,TRUE
aejapp_9_4_5,7,settlement,settlement,exo,TRUE
aejapp_9_4_5,8,settlement,settlement,exo,TRUE
aejapp_9_4_5,9,settlement,settlement,exo,TRUE
aejapp_9_4_5,10,settlement,settlement,exo,TRUE
aejapp_9_4_5,11,settlement,settlement,exo,TRUE
aejapp_9_4_5,12,settlement,settlement,exo,TRUE
aejapp_9_4_5,13,settlement,settlement,exo,TRUE
