artid,file_path,line,orgline,cmd,cmdline,prefix_cmd1,prefix_cmd2,num_runs,num_err_runs,in_program,in_loop,is_reg
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,1,2,clear,clear,,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,2,3,set,set more off,,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,3,9,global,"global ps              ""/Users/claudioferraz/Dropbox/Nucleos_final""",,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,4,10,global,"global RepDir  ""/Users/claudioferraz/Dropbox/Nucleos_final/Replication""",,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,5,16,use,"use ""/Users/claudioferraz/Dropbox/Nucleos_final/Replication/RochaFerrazSoares_Data1920shape.dta"", clear",,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,6,18,estpost,eststo summstats: estpost summarize settlement ln_distk lat longitude geo_altitude geo_solo_sarg geo_solo_scambi geo_solo_sespondo geo_solo_slat sh_lit72 sh_childschool72 sh_slaves72 sh_foreign72 pop72 railway72 sh_lit20 schools_child20 teachers_child20 pop20 sh_foreign20 sh_foreign_lit20 sh_smallholders20 coffee_ha20 value_land20 railway20 sh_emp_ag20 sh_emp_ind20 sh_emp_serv20 sh_lit40 schools_child40 sh_child_school40  pop40 sh_emp_ag40 sh_emp_ind40 sh_emp_serv40 sh_lit00 years_schooling00 sh_child_school00 schools_child00 teachers_child00 income_pc00 sh_emp_ag00 sh_emp_ind00 sh_emp_serv00,eststo,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,7,20,esttab,"esttab summstats using ""/Users/claudioferraz/Dropbox/Nucleos_final/Replication/table2.csv"" , replace cell(""mean sd min max"")",,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,8,27,use,"use ""/Users/claudioferraz/Dropbox/Nucleos_final/Replication/RochaFerrazSoares_Data1872shape.dta"", clear",,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,9,30,estpost,eststo summstats_a: estpost summarize  ln_distk geo_lat_72 geo_long_72 geo_altitude  geo_solo_slat sh_lit72 sh_child_school72  sh_foreign72 sh_slaves72 popdensity72 railway72 publicservants_pc72 legalprofession_pc72 teachers_pc72 sh_emp_ag72 sh_emp_ind72 sh_emp_serv72 if settlement==1,eststo,,1,0,FALSE,FALSE,FALSE
aejapp_9_4_5,DataCode_replication/Rocha_Ferraz_Soares_Tables.do,10,31,estpost,eststo summstats_b: estpost summarize  ln_distk geo_lat_72 geo_long_72 geo_altitude  geo_solo_slat sh_lit72 sh_child_school72  sh_foreign72 sh_slaves72 popdensity72 railway72 publicservants_pc72 legalprofession_pc72 teachers_pc72 sh_emp_ag72 sh_emp_ind72 sh_emp_serv72 if settlement==0,eststo,,1,0,FALSE,FALSE,FALSE
